fecha,n1,n2,n3,n4,n5,superbalota
7 de Agosto de 2024,4,17,24,29,43,5
3 de Agosto de 2024,5,21,24,34,43,3
3 de Agosto de 2024,8,14,23,28,32,13
31 de Julio de 2024,2,24,32,38,42,10
31 de Julio de 2024,1,4,9,33,37,15
27 de Julio de 2024,19,25,32,38,41,13
27 de Julio de 2024,8,12,22,25,39,11
24 de Julio de 2024,6,29,31,36,41,6
24 de Julio de 2024,9,12,21,30,41,2
20 de Julio de 2024,2,3,10,29,43,16
20 de Julio de 2024,6,11,26,27,40,7
17 de Julio de 2024,16,33,36,39,43,6
17 de Julio de 2024,23,24,27,29,40,9
13 de Julio de 2024,6,7,18,25,41,16
13 de Julio de 2024,7,15,21,29,36,8
10 de Julio de 2024,3,11,21,22,36,11
10 de Julio de 2024,12,15,21,26,39,9
6 de Julio de 2024,14,18,26,32,42,1
6 de Julio de 2024,8,10,16,30,35,11
3 de Julio de 2024,9,19,27,32,43,2
3 de Julio de 2024,5,7,19,22,25,5
29 de Junio de 2024,4,5,16,21,32,14
29 de Junio de 2024,8,19,25,28,41,2
26 de Junio de 2024,6,13,20,36,43,9
26 de Junio de 2024,7,11,32,40,41,9
22 de Junio de 2024,4,7,21,25,33,16
22 de Junio de 2024,4,15,16,20,34,4
19 de Junio de 2024,12,17,22,23,39,13
19 de Junio de 2024,2,11,13,24,37,11
15 de Junio de 2024,6,10,18,40,43,16
15 de Junio de 2024,2,13,14,30,43,3
12 de Junio de 2024,4,9,15,20,34,1
12 de Junio de 2024,4,9,13,14,20,12
8 de Junio de 2024,5,16,17,29,38,7
8 de Junio de 2024,7,25,28,39,41,7
5 de Junio de 2024,3,19,24,38,39,5
5 de Junio de 2024,8,18,20,28,41,4
1 de Junio de 2024,16,22,26,27,37,9
1 de Junio de 2024,10,26,28,29,40,15
29 de Mayo de 2024,7,8,14,15,19,6
29 de Mayo de 2024,18,19,23,25,38,14
25 de Mayo de 2024,12,18,39,40,41,3
25 de Mayo de 2024,7,12,27,28,37,16
22 de Mayo de 2024,5,11,14,21,33,6
22 de Mayo de 2024,5,11,16,17,37,13
18 de Mayo de 2024,12,19,28,35,42,4
18 de Mayo de 2024,1,10,16,27,35,13
15 de Mayo de 2024,2,4,10,27,41,2
15 de Mayo de 2024,3,4,6,15,23,10
11 de Mayo de 2024,4,11,16,21,39,8
11 de Mayo de 2024,12,23,35,38,42,1
8 de Mayo de 2024,13,16,23,26,30,16
8 de Mayo de 2024,13,24,25,33,36,15
4 de Mayo de 2024,8,10,28,30,38,10
4 de Mayo de 2024,24,29,34,35,36,14
1 de Mayo de 2024,20,23,25,31,36,12
1 de Mayo de 2024,2,4,21,24,29,2
27 de Abril de 2024,11,13,21,23,24,6
27 de Abril de 2024,1,2,15,21,23,13
24 de Abril de 2024,19,20,26,29,43,9
24 de Abril de 2024,7,9,32,34,41,10
20 de Abril de 2024,2,12,31,32,35,3
20 de Abril de 2024,7,9,12,37,41,7
17 de Abril de 2024,25,26,31,37,38,4
17 de Abril de 2024,20,30,31,40,43,9
13 de Abril de 2024,2,16,31,37,43,5
13 de Abril de 2024,4,10,11,30,37,13
10 de Abril de 2024,3,5,11,12,40,2
10 de Abril de 2024,6,30,34,36,39,14
6 de Abril de 2024,2,24,25,26,30,9
6 de Abril de 2024,13,17,24,41,43,10
3 de Abril de 2024,14,20,29,37,41,14
3 de Abril de 2024,9,11,21,24,41,6
30 de Marzo de 2024,7,21,30,35,36,11
30 de Marzo de 2024,15,18,23,30,34,1
27 de Marzo de 2024,2,3,8,11,32,16
27 de Marzo de 2024,1,8,19,34,39,3
23 de Marzo de 2024,9,23,29,32,34,7
23 de Marzo de 2024,10,14,21,32,41,8
20 de Marzo de 2024,17,22,24,35,40,8
20 de Marzo de 2024,14,16,24,27,32,16
16 de Marzo de 2024,1,12,25,27,32,8
16 de Marzo de 2024,19,21,28,29,39,9
13 de Marzo de 2024,6,20,24,27,42,16
13 de Marzo de 2024,9,19,21,24,33,15
9 de Marzo de 2024,10,14,23,25,42,4
